timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715287200000,20289051.70000000,9439424.29118972,4.5279,0.8191,0.1809,1.3957,0.5826,0.4174,3.8100,0.7921,0.2079,-0.0006,0.4651000,-0.00027093
1715287500000,20287436.10000000,9440001.46489411,4.5772,0.8207,0.1793,1.3957,0.5826,0.4174,3.8309,0.7930,0.2070,-0.0004,0.4652000,-0.00018776
1715287800000,20247133.50000000,9416941.79085000,4.6085,0.8217,0.1783,1.3956,0.5826,0.4174,3.8333,0.7931,0.2069,-0.0005,0.4650000,-0.00024395
1715288100000,20241001.30000000,9408568.16188537,4.5525,0.8199,0.1801,1.3989,0.5831,0.4169,3.8239,0.7927,0.2073,-0.0007,0.4647000,-0.00031067
1715288400000,20228948.80000000,9427304.89855403,4.5710,0.8205,0.1795,1.3991,0.5832,0.4168,3.7755,0.7906,0.2094,-0.0002,0.4660000,-0.00010492
1715288700000,20240848.50000000,9465109.97990825,4.5279,0.8191,0.1809,1.3924,0.5820,0.4180,3.7847,0.7910,0.2090,0.0002,0.4677000,0.00010445
1715289000000,20237876.40000000,9483468.88104000,4.5586,0.8201,0.1799,1.3918,0.5819,0.4181,3.8146,0.7923,0.2077,0.0000,0.4685000,0.00002143
1715289300000,20205268.20000000,9454553.35532791,4.5127,0.8186,0.1814,1.3907,0.5817,0.4183,3.7962,0.7915,0.2085,-0.0004,0.4678000,-0.00016721
1715289600000,20159361.40000000,9419625.30816457,4.5402,0.8195,0.1805,1.3940,0.5823,0.4177,3.8170,0.7924,0.2076,-0.0003,0.4671000,-0.00013605
1715289900000,20148397.00000000,9425464.84604134,4.5371,0.8194,0.1806,1.3966,0.5827,0.4173,3.8146,0.7923,0.2077,0.0008,0.4679000,0.00036070
1715290200000,20145403.50000000,9411225.41153715,4.5036,0.8183,0.1817,1.3960,0.5826,0.4174,3.7916,0.7913,0.2087,-0.0001,0.4671000,-0.00004381
1715290500000,20147891.50000000,9415109.69795000,4.4915,0.8179,0.1821,1.3976,0.5829,0.4171,3.7801,0.7908,0.2092,0.0005,0.4674000,0.00024675
1715290800000,20132633.90000000,9409730.95796662,4.5006,0.8182,0.1818,1.3980,0.5830,0.4170,3.7642,0.7901,0.2099,0.0005,0.4673000,0.00024361
1715291100000,20117590.20000000,9420577.22498683,4.5402,0.8195,0.1805,1.3986,0.5831,0.4169,3.7824,0.7909,0.2091,0.0013,0.4683000,0.00060006
1715291400000,20110018.00000000,9421258.27294476,4.4915,0.8179,0.1821,1.3971,0.5828,0.4172,3.7778,0.7907,0.2093,0.0010,0.4685000,0.00045297
1715291700000,20111290.40000000,9462439.56166804,4.4885,0.8178,0.1822,1.3963,0.5827,0.4173,3.7939,0.7914,0.2086,0.0000,0.4705000,0.00000842
1715292000000,20107845.20000000,9437662.58835015,4.4526,0.8166,0.1834,1.3946,0.5824,0.4176,3.8054,0.7919,0.2081,-0.0007,0.4693000,-0.00034993
1715292300000,20103268.90000000,9460598.34434000,4.5066,0.8184,0.1816,1.3961,0.5827,0.4173,3.8356,0.7932,0.2068,-0.0005,0.4705000,-0.00023437
1715292600000,20151217.00000000,9504464.57169070,4.4825,0.8176,0.1824,1.3953,0.5825,0.4175,3.8031,0.7918,0.2082,-0.0010,0.4712000,-0.00048336
1715292900000,20164201.10000000,9524841.07526431,4.4407,0.8162,0.1838,1.3913,0.5818,0.4182,3.8239,0.7927,0.2073,-0.0003,0.4722000,-0.00015358
1715293200000,20170158.00000000,9526231.89525246,4.3850,0.8143,0.1857,1.3915,0.5819,0.4181,3.7642,0.7901,0.2099,0.0000,0.4723000,0.00001647
1715293500000,20198456.20000000,9554646.21125633,4.3648,0.8136,0.1864,1.3917,0.5819,0.4181,3.7574,0.7898,0.2102,0.0002,0.4731000,0.00008988
1715293800000,20194224.60000000,9567821.26934951,4.3505,0.8131,0.1869,1.3891,0.5814,0.4186,3.7710,0.7904,0.2096,-0.0002,0.4737000,-0.00008767
1715294100000,20211536.30000000,9569032.20894010,4.3879,0.8144,0.1856,1.3883,0.5813,0.4187,3.8100,0.7921,0.2079,-0.0003,0.4733000,-0.00013570
1715294400000,20206515.10000000,9600115.32401000,4.4526,0.8166,0.1834,1.3908,0.5817,0.4183,3.8309,0.7930,0.2070,0.0002,0.4750000,0.00008310
