timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,1622643021.00000000,3313437.04888200,4.9559,0.8321,0.1679,2.3185,0.6987,0.3013,4.2770,0.8105,0.1895,0.0020,0.002047,0.00000402
1715287200000,1624662249.00000000,3328120.61707650,4.9347,0.8315,0.1685,2.3150,0.6983,0.3017,4.2659,0.8101,0.1899,0.0002,0.002049,0.00000033
1715287500000,1627145697.00000000,3334672.39143180,4.8997,0.8305,0.1695,2.3159,0.6984,0.3016,4.2383,0.8091,0.1909,-0.0010,0.002048,-0.00000206
1715287800000,1626382961.00000000,3332458.68708900,4.8962,0.8304,0.1696,2.3122,0.6981,0.3019,4.2356,0.8090,0.1910,-0.0010,0.002047,-0.00000200
1715288100000,1628339354.00000000,3333422.34175402,4.9242,0.8312,0.1688,2.3128,0.6981,0.3019,4.2411,0.8092,0.1908,-0.0001,0.002048,-0.00000012
1715288400000,1630243897.00000000,3340369.74495300,4.9277,0.8313,0.1687,2.3076,0.6977,0.3023,4.2659,0.8101,0.1899,0.0039,0.002057,0.00000789
1715288700000,1636976940.00000000,3367523.48189040,4.8173,0.8281,0.1719,2.3026,0.6972,0.3028,4.1787,0.8069,0.1931,-0.0005,0.002056,-0.00000111
1715289000000,1636273238.00000000,3365437.70772126,4.8858,0.8301,0.1699,2.3014,0.6971,0.3029,4.2576,0.8098,0.1902,-0.0028,0.002051,-0.00000570
1715289300000,1638571198.00000000,3362348.09829600,4.8858,0.8301,0.1699,2.3114,0.6980,0.3020,4.2576,0.8098,0.1902,-0.0024,0.002048,-0.00000485
1715289600000,1636053265.00000000,3351455.11335250,4.8685,0.8296,0.1704,2.3218,0.6990,0.3010,4.2274,0.8087,0.1913,0.0001,0.002050,0.00000027
1715289900000,1635155202.00000000,3350433.00889800,4.8309,0.8285,0.1715,2.3259,0.6993,0.3007,4.1867,0.8072,0.1928,-0.0008,0.002048,-0.00000171
1715290200000,1636777522.00000000,3353871.71700454,4.8445,0.8289,0.1711,2.3297,0.6997,0.3003,4.1867,0.8072,0.1928,0.0002,0.002050,0.00000034
1715290500000,1635072926.00000000,3351425.32715146,4.7904,0.8273,0.1727,2.3276,0.6995,0.3005,4.1733,0.8067,0.1933,-0.0004,0.002049,-0.00000074
1715290800000,1636161953.00000000,3354819.19167026,4.7803,0.8270,0.1730,2.3221,0.6990,0.3010,4.1760,0.8068,0.1932,-0.0010,0.002049,-0.00000205
1715291100000,1635508005.00000000,3351417.58352580,4.7971,0.8275,0.1725,2.3236,0.6991,0.3009,4.1813,0.8070,0.1930,0.0001,0.002050,0.00000026
1715291400000,1636981343.00000000,3357448.73449300,4.7737,0.8268,0.1732,2.3258,0.6993,0.3007,4.1760,0.8068,0.1932,0.0020,0.002055,0.00000405
1715291700000,1640983923.00000000,3372304.01096115,4.7604,0.8264,0.1736,2.3177,0.6986,0.3014,4.1813,0.8070,0.1930,-0.0010,0.002053,-0.00000200
1715292000000,1639574095.00000000,3367931.12724425,4.7571,0.8263,0.1737,2.3218,0.6990,0.3010,4.1733,0.8067,0.1933,-0.0010,0.002053,-0.00000214
1715292300000,1638924623.00000000,3364712.25101900,4.8309,0.8285,0.1715,2.3247,0.6992,0.3008,4.2083,0.8080,0.1920,0.0002,0.002054,0.00000034
1715292600000,1639949090.00000000,3368537.42831450,4.8207,0.8282,0.1718,2.3266,0.6994,0.3006,4.2110,0.8081,0.1919,0.0020,0.002059,0.00000403
1715292900000,1640783168.00000000,3379389.82847616,4.8038,0.8277,0.1723,2.3262,0.6994,0.3006,4.2083,0.8080,0.1920,-0.0013,0.002057,-0.00000261
1715293200000,1643263015.00000000,3379600.44716960,4.8411,0.8288,0.1712,2.3266,0.6994,0.3006,4.2247,0.8086,0.1914,-0.0007,0.002056,-0.00000153
1715293500000,1644188946.00000000,3379975.65818166,4.8445,0.8289,0.1711,2.3307,0.6998,0.3002,4.2274,0.8087,0.1913,0.0005,0.002058,0.00000096
1715293800000,1644096454.00000000,3385194.59878600,4.8685,0.8296,0.1704,2.3357,0.7002,0.2998,4.2383,0.8091,0.1909,-0.0010,0.002057,-0.00000213
1715294100000,1645583636.00000000,3384965.53925200,4.8480,0.8290,0.1710,2.3368,0.7003,0.2997,4.2247,0.8086,0.1914,0.0023,0.002062,0.00000482
1715294400000,1648677433.00000000,3401040.18976137,4.8997,0.8305,0.1695,2.3353,0.7002,0.2998,4.3277,0.8123,0.1877,0.0024,0.002068,0.00000488
1715294700000,1648090326.00000000,3410047.21262334,4.8309,0.8285,0.1715,2.3409,0.7007,0.2993,4.3362,0.8126,0.1874,0.0023,0.002074,0.00000486
1715295000000,1646068380.00000000,3415410.82097820,4.8140,0.8280,0.1720,2.3401,0.7006,0.2994,4.3135,0.8118,0.1882,0.0015,0.002078,0.00000314
1715295300000,1655934904.00000000,3441794.46056784,4.8309,0.8285,0.1715,2.3339,0.7001,0.2999,4.2966,0.8112,0.1888,-0.0023,0.002074,-0.00000473
1715295600000,1655238594.00000000,3434438.00630466,4.8651,0.8295,0.1705,2.3351,0.7002,0.2998,4.3305,0.8124,0.1876,-0.0025,0.002071,-0.00000514
1715295900000,1653454797.00000000,3425263.88836926,4.8514,0.8291,0.1709,2.3420,0.7008,0.2992,4.2743,0.8104,0.1896,-0.0033,0.002066,-0.00000676
1715296200000,1652562781.00000000,3415847.26832700,4.8582,0.8293,0.1707,2.3459,0.7011,0.2989,4.2715,0.8103,0.1897,-0.0015,0.002065,-0.00000310
1715296500000,1649878820.00000000,3406999.76330000,4.8789,0.8299,0.1701,2.3567,0.7021,0.2979,4.2854,0.8108,0.1892,0.0001,0.002066,0.00000017
1715296800000,1649551492.00000000,3408039.36453168,4.8858,0.8301,0.1699,2.3600,0.7024,0.2976,4.2882,0.8109,0.1891,-0.0009,0.002065,-0.00000196
1715297100000,1651338910.00000000,3411534.08094720,4.8617,0.8294,0.1706,2.3601,0.7024,0.2976,4.2576,0.8098,0.1902,-0.0011,0.002065,-0.00000230
1715297400000,1651099301.00000000,3410593.27111065,4.8480,0.8290,0.1710,2.3563,0.7021,0.2979,4.2715,0.8103,0.1897,-0.0028,0.002061,-0.00000587
1715297700000,1652391280.00000000,3410320.79105360,4.9207,0.8311,0.1689,2.3470,0.7012,0.2988,4.3163,0.8119,0.1881,-0.0023,0.002060,-0.00000474
1715298000000,1651094728.00000000,3399785.66537208,4.8962,0.8304,0.1696,2.3554,0.7020,0.2980,4.2966,0.8112,0.1888,-0.0004,0.002059,-0.00000079
1715298300000,1651101328.00000000,3399485.54624576,4.8858,0.8301,0.1699,2.3555,0.7020,0.2980,4.2854,0.8108,0.1892,0.0052,0.002070,0.00001062
1715298600000,1650797648.00000000,3415500.33371200,4.8343,0.8286,0.1714,2.3642,0.7028,0.2972,4.2138,0.8082,0.1918,0.0006,0.002071,0.00000129
1715298900000,1647135368.00000000,3412864.48249600,4.8005,0.8276,0.1724,2.3712,0.7034,0.2966,4.1840,0.8071,0.1929,-0.0014,0.002071,-0.00000290
